month_date,country_iso3,indicator,segment,value
2020-01,IND,tokens,total,6154980000000000
2020-01,BRA,tokens,total,8425310000000000
2020-01,USA,tokens,total,4073340000000000
2020-01,GBR,tokens,total,8274340000000000
2020-01,NGA,tokens,total,1332310000000000
2020-02,IND,tokens,total,1334360000000000
2020-02,BRA,tokens,total,453268000000000
2020-02,USA,tokens,total,1879230000000000
2020-02,GBR,tokens,total,7036220000000000
2020-02,NGA,tokens,total,6030700000000000
2020-03,IND,tokens,total,4652430000000000
2020-03,BRA,tokens,total,6965490000000000
2020-03,USA,tokens,total,5384450000000000
2020-03,GBR,tokens,total,2647360000000000
2020-03,NGA,tokens,total,1068040000000000
2020-04,IND,tokens,total,4066850000000000
2020-04,BRA,tokens,total,5405340000000000
2020-04,USA,tokens,total,7254500000000000
2020-04,GBR,tokens,total,6831230000000000
2020-04,NGA,tokens,total,7470360000000000
2020-01,IND,token_access,open_source,689175000000000
2020-01,BRA,token_access,open_source,2529590000000000
2020-01,USA,token_access,open_source,6390390000000000
2020-01,GBR,token_access,open_source,460230000000000
2020-01,NGA,token_access,open_source,4263480000000000
2020-02,IND,token_access,open_source,3459000000000000
2020-02,BRA,token_access,open_source,1204660000000000
2020-02,USA,token_access,open_source,6130440000000000
2020-02,GBR,token_access,open_source,4266820000000000
2020-02,NGA,token_access,open_source,4251620000000000
2020-03,IND,token_access,open_source,6212050000000000
2020-03,BRA,token_access,open_source,2295190000000000
2020-03,USA,token_access,open_source,5140190000000000
2020-03,GBR,token_access,open_source,8314920000000000
2020-03,NGA,token_access,open_source,8217000000000000
2020-04,IND,token_access,open_source,5538030000000000
2020-04,BRA,token_access,open_source,7993020000000000
2020-04,USA,token_access,open_source,32060300000000
2020-04,GBR,token_access,open_source,247198000000000
2020-04,NGA,token_access,open_source,7995210000000000
2020-01,IND,token_access,proprietary,6262090000000000
2020-01,BRA,token_access,proprietary,8032810000000000
2020-01,USA,token_access,proprietary,8133360000000000
2020-01,GBR,token_access,proprietary,3297670000000000
2020-01,NGA,token_access,proprietary,7404880000000000
2020-02,IND,token_access,proprietary,731644000000000
2020-02,BRA,token_access,proprietary,4490510000000000
2020-02,USA,token_access,proprietary,3968880000000000
2020-02,GBR,token_access,proprietary,1085390000000000
2020-02,NGA,token_access,proprietary,2644410000000000
2020-03,IND,token_access,proprietary,6022030000000000
2020-03,BRA,token_access,proprietary,4527010000000000
2020-03,USA,token_access,proprietary,1107220000000000
2020-03,GBR,token_access,proprietary,2159110000000000
2020-03,NGA,token_access,proprietary,1221400000000000
2020-04,IND,token_access,proprietary,5529020000000000
2020-04,BRA,token_access,proprietary,4418800000000000
2020-04,USA,token_access,proprietary,5743650000000000
